uniqueid,thumbnail_count,visit_count,play_count,impression_count,event_count_avon_on,event_count_cilt,event_count_finished,event_count_makyaj,event_count_parfum,event_count_replay,event_count_siparis,first_thumbnail_at,last_thumbnail_at,first_visited_at,last_visited_at,first_played_at,last_played_at,first_impression_at,last_impression_at,first_received_at_avon_on,last_received_at_avon_on,first_received_at_cilt,last_received_at_cilt,first_received_at_finished,last_received_at_finished,first_received_at_makyaj,last_received_at_makyaj,first_received_at_parfum,last_received_at_parfum,first_received_at_replay,last_received_at_replay,first_received_at_siparis,last_received_at_siparis
25093654,1,,,,,,,,,,,2025-03-08 10:00:00,2025-03-08 10:00:00,,,,,,,,,,,,,,,,,,,,
29181031,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
28228660,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
8047670,1,,,,,,,,,,,2025-03-07 11:00:00,2025-03-07 11:00:00,,,,,,,,,,,,,,,,,,,,
31433415,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
32305683,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
70909431,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
33436438,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
70770262,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
33054814,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
26809616,1,,,,,,,,,,,2025-03-07 15:00:00,2025-03-07 15:00:00,,,,,,,,,,,,,,,,,,,,
32838452,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
70962788,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
70961084,1,,,,,,,,,,,2025-03-07 13:00:00,2025-03-07 13:00:00,,,,,,,,,,,,,,,,,,,,
6806290,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
28531226,1,,,,,,,,,,,2025-03-07 12:00:00,2025-03-07 12:00:00,,,,,,,,,,,,,,,,,,,,
32599510,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
70831405,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
32560359,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
